unique.id,moistureFraction,moisturePercent
01_1,0.282920927,28.29209273
01_2,0.303667412,30.36674119
01_5,0.313336158,31.33361584
02_1,0.282920927,28.29209273
02_2,0.303667412,30.36674119
02_5,0.313336158,31.33361584
03_4,0.294111011,29.41110108
04_4,0.294111011,29.41110108
05_4,0.316959646,31.69596457
05_6,0.308658122,30.86581219
06_4,0.316959646,31.69596457
06_6,0.308658122,30.86581219
07_2,0.311284847,31.12848472
07_3,0.314621293,31.46212933
07_5,0.30661812,30.66181195
08_2,0.311284847,31.12848472
08_3,0.314621293,31.46212933
08_5,0.30661812,30.66181195
09_1,0.31758044,31.75804403
09_2,0.377476142,37.74761416
10_1,0.31758044,31.75804403
10_2,0.377476142,37.74761416
11_6,0.311615108,31.16151081
12_6,0.311615108,31.16151081
15_3,0.352401239,35.24012393
16_3,0.352401239,35.24012393
17_1,0.292720871,29.27208712
17_5,0.316280553,31.62805535
18_1,0.292720871,29.27208712
18_5,0.316280553,31.62805535
19_1,0.315842583,31.58425832
20_1,0.315842583,31.58425832
23_2,0.313160351,31.31603509
24_2,0.313160351,31.31603509
25_2,0.272060574,27.20605743
25_3,0.303219955,30.32199546
26_2,0.272060574,27.20605743
26_3,0.303219955,30.32199546
27_2,0.298387442,29.83874417
27_3,0.278530463,27.8530463
27_4,0.30630017,30.63001703
28_2,0.298387442,29.83874417
28_3,0.278530463,27.8530463
28_4,0.30630017,30.63001703
31_3,0.275589618,27.5589618
31_5,0.301296683,30.1296683
32_3,0.275589618,27.5589618
32_5,0.301296683,30.1296683
33_5,0.306575654,30.65756542
34_5,0.306575654,30.65756542
37_3,0.312107505,31.21075052
38_3,0.312107505,31.21075052
41_1,0.295066667,29.50666667
41_5,0.277081581,27.70815812
42_1,0.295066667,29.50666667
42_5,0.277081581,27.70815812
43_1,0.299636233,29.9636233
43_3,0.320997586,32.09975865
44_1,0.299636233,29.9636233
44_3,0.320997586,32.09975865
45_3,0.272060043,27.20600431
46_3,0.272060043,27.20600431
47_1,0.288841406,28.88414055
48_1,0.288841406,28.88414055
